Rank	MName	#males	FName	#females
1	Noah	19,511	Emma	20,355
2	Liam	18,281	Olivia	19,553
3	Mason	16,535	Sophia	17,327
4	Jacob	15,816	Ava	16,286
5	William	15,809	Isabella	15,504
6	Ethan	14,991	Mia	14,820
7	James	14,705	Abigail	12,311
8	Alexander	14,460	Emily	11,727
9	Michael	14,321	Charlotte	11,332
10	Benjamin	13,608	Harper	10,241
11	Elijah	13,511	Madison	10,038
12	Daniel	13,408	Amelia	9,795
13	Aiden	13,378	Elizabeth	9,656
14	Logan	12,862	Sofia	9,650
15	Matthew	12,648	Evelyn	9,313
16	Lucas	12,246	Avery	9,298
17	Jackson	12,182	Chloe	7,884
18	David	11,691	Ella	7,852
19	Oliver	11,592	Grace	7,589
20	Jayden	11,475	Victoria	7,575
21	Joseph	11,375	Aubrey	7,357
22	Gabriel	10,782	Scarlett	7,100
23	Samuel	10,733	Zoey	6,900
24	Carter	10,727	Addison	6,683
25	Anthony	10,564	Lily	6,617
26	John	10,303	Lillian	6,571
27	Dylan	10,232	Natalie	6,466
28	Luke	10,219	Hannah	6,372
29	Henry	10,112	Aria	6,371
30	Andrew	10,027	Layla	6,289
31	Isaac	9,878	Brooklyn	6,268
32	Christopher	9,742	Alexa	6,029
33	Joshua	9,720	Zoe	5,995
34	Wyatt	9,597	Penelope	5,921
35	Sebastian	9,569	Riley	5,707
36	Owen	9,549	Leah	5,585
37	Caleb	8,727	Audrey	5,581
38	Nathan	8,530	Savannah	5,413
39	Ryan	8,474	Allison	5,329
40	Jack	8,456	Samantha	5,304
41	Hunter	8,284	Nora	5,301
42	Levi	8,236	Skylar	5,258
43	Christian	8,127	Camila	5,257
44	Jaxon	8,015	Anna	5,094
45	Julian	8,003	Paisley	5,056
46	Landon	7,896	Ariana	4,933
47	Grayson	7,852	Ellie	4,838
48	Jonathan	7,577	Aaliyah	4,836
49	Isaiah	7,528	Claire	4,805
50	Charles	7,125	Violet	4,779
51	Thomas	7,123	Stella	4,769
52	Aaron	7,113	Sadie	4,731
53	Eli	7,087	Mila	4,712
54	Connor	6,729	Gabriella	4,579
55	Jeremiah	6,724	Lucy	4,512
56	Cameron	6,713	Arianna	4,498
57	Josiah	6,605	Kennedy	4,496
58	Adrian	6,489	Sarah	4,476
59	Colton	6,270	Madelyn	4,467
60	Jordan	6,254	Eleanor	4,402
61	Brayden	6,220	Kaylee	4,346
62	Nicholas	6,194	Caroline	4,304
63	Robert	6,076	Hazel	4,270
64	Angel	6,059	Hailey	4,221
65	Hudson	6,008	Genesis	4,148
66	Lincoln	5,959	Kylie	4,142
67	Evan	5,863	Autumn	4,101
68	Dominic	5,811	Piper	4,100
69	Austin	5,767	Maya	4,099
70	Gavin	5,741	Nevaeh	3,968
71	Nolan	5,713	Serenity	3,943
72	Parker	5,383	Peyton	3,888
73	Adam	5,360	Mackenzie	3,838
74	Chase	5,340	Bella	3,760
75	Jace	5,311	Eva	3,735
76	Ian	5,288	Taylor	3,732
77	Cooper	5,238	Naomi	3,731
78	Easton	5,199	Aubree	3,617
79	Kevin	5,157	Aurora	3,613
80	Jose	5,146	Melanie	3,482
81	Tyler	5,131	Lydia	3,474
82	Brandon	5,085	Brianna	3,459
83	Asher	5,059	Ruby	3,433
84	Jaxson	5,028	Katherine	3,429
85	Mateo	4,987	Ashley	3,409
86	Jason	4,968	Alexis	3,395
87	Ayden	4,862	Alice	3,395
88	Zachary	4,809	Cora	3,378
89	Carson	4,723	Julia	3,347
90	Xavier	4,605	Madeline	3,305
91	Leo	4,561	Faith	3,288
92	Ezra	4,299	Annabelle	3,250
93	Bentley	4,287	Alyssa	3,233
94	Sawyer	4,245	Isabelle	3,198
95	Kayden	4,216	Vivian	3,183
96	Blake	4,211	Gianna	3,161
97	Nathaniel	4,176	Quinn	3,077
98	Ryder	4,130	Clara	3,049
99	Theodore	4,111	Reagan	3,038
100	Elias	4,062	Khloe	2,985
101	Tristan	3,885	Alexandra	2,983
102	Roman	3,862	Hadley	2,957
103	Leonardo	3,810	Eliana	2,956
104	Camden	3,750	Sophie	2,918
105	Brody	3,723	London	2,904
106	Luis	3,718	Elena	2,877
107	Miles	3,701	Kimberly	2,826
108	Micah	3,700	Bailey	2,818
109	Vincent	3,697	Maria	2,803
110	Justin	3,693	Luna	2,790
111	Greyson	3,578	Willow	2,776
112	Declan	3,560	Jasmine	2,774
113	Maxwell	3,519	Kinsley	2,762
114	Juan	3,510	Valentina	2,738
115	Cole	3,475	Kayla	2,718
116	Damian	3,474	Delilah	2,706
117	Carlos	3,400	Andrea	2,699
118	Max	3,398	Natalia	2,686
119	Harrison	3,316	Lauren	2,677
120	Weston	3,305	Morgan	2,670
121	Brantley	3,282	Rylee	2,668
122	Braxton	3,278	Sydney	2,647
123	Axel	3,229	Adalynn	2,612
124	Diego	3,218	Mary	2,602
125	Abel	3,216	Ximena	2,591
126	Wesley	3,213	Jade	2,549
127	Santiago	3,202	Liliana	2,545
128	Jesus	3,166	Brielle	2,519
129	Silas	3,153	Ivy	2,489
130	Giovanni	3,118	Trinity	2,485
131	Bryce	3,114	Josephine	2,477
132	Jayce	3,105	Adalyn	2,450
133	Bryson	3,088	Jocelyn	2,441
134	Alex	3,085	Emery	2,409
135	Everett	3,032	Adeline	2,391
136	George	3,032	Jordyn	2,362
137	Eric	3,028	Ariel	2,332
138	Ivan	3,028	Everly	2,315
139	Emmett	3,026	Lilly	2,294
140	Kaiden	3,006	Paige	2,278
141	Ashton	2,998	Isla	2,263
142	Kingston	2,929	Lyla	2,254
143	Jonah	2,882	Makayla	2,237
144	Jameson	2,838	Molly	2,235
145	Kai	2,819	Emilia	2,206
146	Maddox	2,772	Mya	2,189
147	Timothy	2,763	Kendall	2,186
148	Ezekiel	2,755	Melody	2,168
149	Ryker	2,738	Isabel	2,148
150	Emmanuel	2,723	Brooke	2,139
151	Hayden	2,712	Mckenzie	2,117
152	Antonio	2,708	Nicole	2,106
153	Bennett	2,690	Payton	2,103
154	Steven	2,689	Margaret	2,089
155	Richard	2,659	Mariah	2,087
156	Jude	2,636	Eden	2,050
157	Luca	2,593	Athena	2,040
158	Edward	2,587	Amy	2,031
159	Joel	2,583	Norah	2,021
160	Victor	2,555	Londyn	2,013
161	Miguel	2,552	Valeria	1,974
162	Malachi	2,543	Sara	1,962
163	King	2,540	Aliyah	1,958
164	Patrick	2,520	Angelina	1,952
165	Kaleb	2,510	Gracie	1,934
166	Bryan	2,478	Rose	1,928
167	Alan	2,466	Rachel	1,911
168	Marcus	2,436	Juliana	1,896
169	Preston	2,428	Laila	1,883
170	Abraham	2,423	Brooklynn	1,879
171	Calvin	2,421	Valerie	1,873
172	Colin	2,414	Alina	1,851
173	Bradley	2,385	Reese	1,848
174	Jeremy	2,380	Elise	1,836
175	Kyle	2,374	Eliza	1,816
176	Graham	2,367	Alaina	1,805
177	Grant	2,349	Raelynn	1,793
178	Jesse	2,327	Leilani	1,789
179	Kaden	2,321	Catherine	1,785
180	Alejandro	2,303	Emerson	1,780
181	Oscar	2,286	Cecilia	1,771
182	Jase	2,278	Genevieve	1,760
183	Karter	2,272	Daisy	1,754
184	Maverick	2,250	Harmony	1,740
185	Aidan	2,242	Vanessa	1,720
186	Tucker	2,219	Adriana	1,719
187	Avery	2,204	Presley	1,711
188	Amir	2,200	Rebecca	1,709
189	Brian	2,200	Destiny	1,706
190	Iker	2,171	Hayden	1,703
191	Matteo	2,155	Julianna	1,698
192	Caden	2,121	Michelle	1,692
193	Zayden	2,119	Adelyn	1,673
194	Riley	2,069	Arabella	1,671
195	August	2,059	Summer	1,671
196	Mark	2,050	Callie	1,669
197	Maximus	2,047	Kaitlyn	1,651
198	Brady	2,020	Ryleigh	1,648
199	Kenneth	2,017	Lila	1,639
200	Paul	2,015	Daniela	1,636
201	Jaden	1,998	Arya	1,634
202	Nicolas	1,985	Alana	1,611
203	Beau	1,966	Esther	1,601
204	Dean	1,930	Finley	1,598
205	Jake	1,914	Gabrielle	1,591
206	Peter	1,913	Jessica	1,577
207	Xander	1,912	Charlie	1,554
208	Elliot	1,896	Stephanie	1,554
209	Finn	1,881	Tessa	1,545
210	Derek	1,872	Makenzie	1,541
211	Sean	1,870	Ana	1,534
212	Cayden	1,862	Amaya	1,522
213	Elliott	1,859	Alexandria	1,521
214	Jax	1,849	Alivia	1,515
215	Jasper	1,839	Nova	1,511
216	Lorenzo	1,834	Anastasia	1,493
217	Omar	1,831	Iris	1,492
218	Beckett	1,816	Marley	1,487
219	Rowan	1,799	Fiona	1,484
220	Gael	1,774	Angela	1,480
221	Corbin	1,761	Giselle	1,479
222	Waylon	1,753	Kate	1,469
223	Myles	1,725	Alayna	1,449
224	Tanner	1,703	Lola	1,443
225	Jorge	1,699	Lucia	1,440
226	Javier	1,691	Juliette	1,439
227	Zion	1,674	Parker	1,439
228	Andres	1,670	Teagan	1,430
229	Charlie	1,662	Sienna	1,429
230	Paxton	1,662	Georgia	1,424
231	Emiliano	1,660	Hope	1,423
232	Brooks	1,650	Cali	1,421
233	Zane	1,650	Vivienne	1,419
234	Simon	1,633	Izabella	1,403
235	Judah	1,622	Kinley	1,403
236	Griffin	1,601	Daleyza	1,389
237	Cody	1,579	Kylee	1,386
238	Gunner	1,578	Jayla	1,380
239	Dawson	1,575	Katelyn	1,374
240	Israel	1,563	Juliet	1,353
241	Rylan	1,545	Maggie	1,325
242	Gage	1,518	Dakota	1,323
243	Messiah	1,509	Delaney	1,322
244	River	1,499	Brynlee	1,314
245	Kameron	1,496	Keira	1,306
246	Stephen	1,477	Camille	1,303
247	Francisco	1,476	Leila	1,298
248	Clayton	1,466	Mckenna	1,295
249	Zander	1,452	Aniyah	1,294
250	Chance	1,444	Noelle	1,277
251	Eduardo	1,440	Josie	1,276
252	Spencer	1,427	Jennifer	1,275
253	Lukas	1,425	Melissa	1,273
254	Damien	1,410	Gabriela	1,257
255	Dallas	1,405	Allie	1,255
256	Conner	1,400	Eloise	1,255
257	Travis	1,393	Cassidy	1,230
258	Knox	1,386	Jacqueline	1,222
259	Raymond	1,376	Brynn	1,218
260	Peyton	1,372	Sawyer	1,217
261	Devin	1,371	Evangeline	1,212
262	Felix	1,369	Jordan	1,209
263	Jayceon	1,369	Paris	1,208
264	Collin	1,365	Olive	1,197
265	Amari	1,362	Ayla	1,196
266	Erick	1,360	Rosalie	1,184
267	Cash	1,358	Kali	1,179
268	Jaiden	1,347	Maci	1,173
269	Fernando	1,345	Gemma	1,166
270	Cristian	1,343	Lilliana	1,165
271	Josue	1,340	Raegan	1,162
272	Keegan	1,337	Lena	1,155
273	Garrett	1,336	Adelaide	1,152
274	Rhett	1,335	Journey	1,145
275	Ricardo	1,334	Adelynn	1,137
276	Martin	1,332	Alessandra	1,136
277	Reid	1,331	Kenzie	1,136
278	Seth	1,326	Miranda	1,131
279	Andre	1,310	Haley	1,128
280	Cesar	1,301	June	1,127
281	Titus	1,300	Harley	1,123
282	Donovan	1,291	Charlee	1,121
283	Manuel	1,289	Lucille	1,112
284	Mario	1,285	Talia	1,112
285	Caiden	1,284	Skyler	1,111
286	Adriel	1,282	Makenna	1,109
287	Kyler	1,282	Phoebe	1,109
288	Milo	1,271	Jane	1,106
289	Archer	1,265	Lyric	1,103
290	Jeffrey	1,252	Angel	1,102
291	Holden	1,246	Elaina	1,097
292	Arthur	1,232	Adrianna	1,094
293	Karson	1,218	Ruth	1,092
294	Rafael	1,213	Miriam	1,089
295	Shane	1,205	Diana	1,081
296	Lane	1,203	Mariana	1,080
297	Louis	1,201	Danielle	1,079
298	Angelo	1,200	Jenna	1,078
299	Remington	1,195	Shelby	1,071
300	Troy	1,193	Nina	1,070
301	Emerson	1,191	Madeleine	1,062
302	Maximiliano	1,188	Elliana	1,061
303	Hector	1,186	Amina	1,057
304	Emilio	1,182	Amiyah	1,055
305	Anderson	1,177	Chelsea	1,053
306	Trevor	1,176	Joanna	1,053
307	Phoenix	1,152	Jada	1,049
308	Walter	1,148	Lexi	1,047
309	Johnathan	1,145	Katie	1,043
310	Johnny	1,140	Maddison	1,042
311	Edwin	1,137	Fatima	1,041
312	Julius	1,137	Vera	1,041
313	Barrett	1,136	Malia	1,023
314	Leon	1,130	Lilah	1,022
315	Tyson	1,119	Madilyn	1,021
316	Tobias	1,109	Amanda	1,013
317	Edgar	1,107	Daniella	1,013
318	Dominick	1,098	Alexia	1,010
319	Marshall	1,090	Kathryn	1,009
320	Marco	1,079	Paislee	1,008
321	Joaquin	1,073	Selena	1,008
322	Dante	1,066	Laura	1,003
